Iteración,Fitness,Tiempo,Interacción,BLOSUM
1,30.387640318054405,11.768552303314209,3.0400000000000142,-1.235968194573405
2,37.987700069860466,24.219255924224854,3.800000000000095,-1.2299930140485678
3,37.987700069860466,36.98320460319519,3.040000000000003,-1.2514887021769707
